startdate,IPAddress,duration,responseID,LocationLatitude,LocationLongitude,Q2,Q3,Q1,Q4,Q5,Q6,Q7,Q8,Q9,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q10_1,Q10_2,Q10_3,Q10_4,Q14_14,Q10_13,Q10_12,Q10_5,Q10_7,Q10_6,Q10_8,Q10_9,Q10_10,Q10_11,Q14b_1,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q109,Q113,Q114,Q116,Q117,Q16_1,Q16_2,Q17,Q20#1_1_1,Q20#1_2_1,Q20#1_3_1,Q20#1_4_1,Q20#1_5_1,Q20#1_6_1,Q20#1_7_1,Q20#1_8_1,Q20#1_9_1,Q20#1_10_1,Q20#1_11_1,Q20#1_12_1,Q20#1_13_1,Q20#1_14_1,Q20#2_1,Q20#2_2,Q20#2_3,Q20#2_4,Q20#2_5,Q20#2_6,Q20#2_7,Q20#2_8,Q20#2_9,Q20#2_10,Q20#2_11,Q20#2_12,Q20#2_13,Q20#2_14,Q118,Q22#1_1_1,Q22#1_2_1,Q22#1_3_1,Q22#1_4_1,Q22#1_5_1,Q22#1_6_1,Q22#1_7_1,Q22#1_8_1,Q22#1_9_1,Q22#1_10_1,Q22#1_11_1,Q22#1_12_1,Q22#1_13_1,Q22#1_14_1,Q22#2_1,Q22#2_2,Q22#2_3,Q22#2_4,Q22#2_5,Q22#2_6,Q22#2_7,Q22#2_8,Q22#2_9,Q22#2_10,Q22#2_11,Q22#2_12,Q22#2_13,Q22#2_14,Q119,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q25,Q26,Attn check 1,Q28_2,Q28_3,Q30_1,Q30_2,Q31_1,Q31_2,Q32,Q33,Q34,Q103,Q104,Attn check 2,Q37,Q38,Q39,Q40,Q41,Q42,Q44,Q45,Q46,Q47,Q21_1,Q21_2,Q21_12,Q21_13,Q21_14,Q21_16,Q21_15,Q22_6,Q22_8,Q24 w attn check_1,Q24 w attn check_2,Q24 w attn check_3,Q24 w attn check_4,Q24 w attn check_5,Q24 w attn check_6,Q102,Q48,Q49,Q50,Q51,Q52_1,Q52_2,Q101
1/2/24 16:15,67.191.128.132,447,R_3AowWmTujcNlD9f,33.7585,-84.183,1,1,11,1,4,1,3,4,4,30,50,20,10,0,20,"1,2","1,2",5,5,5,"1,2",5,5,5,5,5,5,"1,2","1,2",,4,4,"1,2",4,"1,2",4,4,,3,3,,,1,1,,80,40,,,,30,,,,,,,20,30,3,3,,,,3,,,,,,,3,3,,60,40,,,,30,,,,,,,30,20,3,3,,,,3,,,,,,,3,3,,2,2,1,1,3,3,4,4,4,4,4,4,2,3,15,,3,56,66,109,62,84,111,1,1,8,11,2,2,3,3,2,,2,2,4,2,2,4,3,5,5,6,5,5,5,5,5,3,3,5,5,3,5,"1,4,7",,,,,,,
1/2/24 16:12,99.121.107.216,717,R_1Vyff86FT1kvjaQ,38.8939,-94.7067,1,1,17,2,6,1,12,7,7,35,75,20,25,50,25,"1,2","1,2",5,5,5,5,"1,2",5,5,5,5,5,"1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,150,75,,,,,25,,,,,,35,35,3,3,,,,,3,,,,,,3,3,,125,50,,,,,45,,,,,,30,30,3,3,,,,,3,,,,,,3,3,,2,2,2,4,4,4,2,2,4,4,4,2,2,2,15,,3,60,60,60,60,90,65,5,1,8,"1,6",,2,3,3,2,,2,2,1,2,2,4,6,5,5,6,4,5,6,6,3,6,6,5,5,7,5,"1,3,4",3,2,1,66213,905,151,2
1/2/24 16:11,71.217.116.251,859,R_7n973KyaH8Bwp5d,35.0737,-78.8883,1,1,34,1,5,1,3,3,3,45,60,40,40,15,45,"1,2","1,2",5,2,2,"1,2",5,5,5,5,5,2,"1,2","1,2",,4,4,"1,2","1,2","1,2",4,4,,1,3,3,,,,,15,25,,,,15,,,,,,,8,10,3,3,,,,3,,,,,,,3,3,,0,15,,10,0,20,,,,,,5,10,15,3,3,,3,3,3,,,,,,3,3,3,,1,2,2,2,2,1,2,2,2,2,2,3,2,2,20,I WAS JUST DRIVING AND I NOTICED A SIGN ON THE FRONT DOOR.,3,40,47,54,50,90,102,1,1,8,8,,2,3,3,2,,2,2,4,1,2,3,5,7,5,7,6,6,6,7,7,7,6,6,7,7,6,"2,4,5",7,1,1,28364,1924,2002,2
1/2/24 16:13,24.205.206.55,768,R_6BQ1IRu4we5H40V,38.9177,-119.7266,1,1,29,1,7,1,12,7,7,0,5,10,8,40,0,"1,2","1,2",5,5,5,5,5,5,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,10,70,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,10,70,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,4,4,4,4,15,,3,19,19,59,62,0,0,5,1,8,1,,2,3,3,2,,2,2,4,4,1,6,2,1,4,6,4,4,6,2,2,6,4,4,4,7,4,"4,5,7",5,1,1,89460,1776,269,2
1/2/24 16:10,23.252.193.56,944,R_7VjUu6ITjQMvUwu,26.6932,-81.9129,1,1,10,2,7,1,12,7,7,4,35,5,10,38,8,"1,2","1,2",5,5,5,5,5,"1,2",5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,135,10,,,,,,0,,,,,,,3,3,,,,,,3,,,,,,,,120,10,,,,,,5,,,,,,,3,3,,,,,,3,,,,,,,,1,2,4,4,4,4,4,2,4,4,4,4,4,4,15,,3,31,31,60,60,15,15,5,3,8,1,,2,3,3,2,,2,2,3,2,5,4,2,1,2,6,1,1,7,1,1,5,7,1,1,7,1,"3,4,7",3,2,1,33903,330,42,2
1/2/24 16:13,75.129.150.183,773,R_3uOHWx8e9EdGFfk,43.4609,-88.8502,1,1,51,1,7,1,"1,12",4,4,4,8,2,2,0,5,"1,2",5,5,5,5,"1,2",5,5,5,5,5,5,5,"1,2",,4,4,4,4,4,4,4,,,,,,,,,40,,,,,10,,,,,,,,15,3,,,,,3,,,,,,,,3,,35,,,,,10,,,,,,,,10,3,,,,,3,,,,,,,,3,,2,4,4,4,4,4,4,4,4,4,4,4,4,2,15,,3,15,20,34,45,8,10,5,1,7,1,,2,3,2,2,,2,2,1,2,3,1,1,2,3,7,1,3,5,5,1,5,4,3,4,7,1,"4,5,7",7,1,1,53579,3097,443,1
1/2/24 16:15,24.11.14.242,681,R_35ykPdbuzHtMT2H,41.788,-111.8113,1,1,46,1,7,1,12,11,11,0,40,5,20,15,20,"1,2",1,5,5,5,5,1,5,5,5,5,5,"1,2",1,,4,4,4,4,4,4,4,,,,,,,,,10,50,,,,,0,,,,,,35,0,3,3,,,,,3,,,,,,3,3,,0,,,,,,,,,,,,35,,3,,,,,,,,,,,,3,,,2,1,3,4,4,4,2,4,4,4,4,2,2,2,15,,3,40,43,121,77,99,46,1,1,6,1,,2,3,3,2,,2,2,3,2,3,4,2,2,2,7,3,1,3,3,3,6,6,6,5,7,3,"4,5,7",3,2,1,84341,2822,2825,2
1/2/24 16:09,68.109.158.187,1064,R_5iqjWBdJ7stP8sG,31.8547,-111.0087,1,1,3,2,7,1,12,7,8,10,30,15,20,15,10,"1,2","1,2",5,5,"1,2",5,5,1,5,5,5,"1,2",2,"1,2",,4,4,4,4,4,4,4,,,,,,,,,20,35,,,10,,,5,,,,10,,20,3,3,,,2,,,3,,,,3,,3,4,20,25,,,15,,,,,,,10,15,15,3,3,,,2,,,,,,,3,3,3,4,2,2,3,4,1,4,3,3,4,4,4,3,3,3,15,,3,120,120,150,120,120,180,1,1,8,"1,3,5,6,7,8",,2,3,2,2,,2,2,1,1,2,1,5,6,5,7,6,6,7,5,5,7,5,5,7,7,5,"4,5,7",5,2,1,85622,99,110,1
1/2/24 16:17,68.34.249.166,680,R_3z5OucBPnYR3w79,43.1963,-86.2717,1,1,23,2,7,1,12,4,4,15,45,10,25,5,0,"1,2",5,5,5,5,"1,2",5,5,5,5,5,5,"1,2","1,2",,4,4,2,4,4,4,4,,,3,,,,,,75,,,,,50,,,,,,,20,30,3,,,,,3,,,,,,,3,3,,70,,,,,50,,,,,,,30,35,3,,,,,3,,,,,,,3,3,,2,4,4,4,4,2,4,4,4,4,4,4,3,2,15,,3,39,49,53,44,36,32,5,2,8,"1,8",,2,3,3,2,,2,2,1,1,5,4,4,4,6,6,4,4,5,5,6,5,5,3,5,7,5,"3,4,5",3,2,1,49441,1254,1315,2
1/2/24 16:08,76.218.38.205,1223,R_5QtMaiF5FpZ0vUX,38.9694,-94.6266,1,1,17,2,7,1,12,10,10,15,30,10,10,40,15,1,1,1,5,1,1,1,5,5,5,5,1,1,1,,4,4,4,4,4,4,4,,,,,,,,,100,100,25,,0,10,30,,,,,15,20,30,3,3,3,,3,3,3,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,1,3,2,4,4,4,4,1,1,1,15,,3,49,46,61,63,104,103,4,2,8,4,,2,3,3,2,,2,2,1,1,5,4,4,4,4,4,4,4,4,7,4,4,4,5,4,7,4,4,5,2,1,66209,905,151,2
1/2/24 16:12,74.108.68.96,1061,R_7szcXXLcGHdVRbh,40.5697,-74.1184,1,1,33,1,7,1,12,3,3,0,100,50,50,50,50,"1,2",5,5,"1,2",5,"1,2","1,2","1,2",5,5,5,5,"1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,100,,,50,,50,50,50,,,,,50,100,3,,,3,,3,3,3,,,,,3,3,,100,,,50,,50,50,50,,,,,50,100,3,,,3,,3,3,3,,,,,3,3,,2,2,2,3,4,2,2,2,4,4,4,2,2,2,15,,3,31,32,60,54,178,176,5,2,6,1,,2,3,3,2,,2,2,2,2,5,1,3,6,5,5,6,2,5,4,3,6,6,3,3,7,2,"3,4,5",7,2,1,10306,1861,519,2
1/2/24 16:09,174.238.107.22,1337,R_1uhm0Nd9h6yiNd7,35.2296,-80.843,1,1,39,2,7,1,12,10,10,5,35,15,25,10,10,"1,2","1,2",2,"1,2",5,"1,2","1,2","1,2",5,5,5,"1,2","1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,40,30,,0,,10,10,5,,,,0,2,3,3,3,,3,,3,3,3,,,,3,3,3,,40,30,0,0,,10,5,5,,,,0,3,2,3,3,3,3,,3,3,3,,,,3,3,3,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,,3,99,101,124,0,121,124,5,1,6,"1,5",,2,1,1,1,2,1,2,1,2,2,2,6,1,7,7,7,1,6,5,5,7,7,1,6,7,1,"3,4,5",4,2,1,15656,2283,2286,1
1/2/24 16:09,24.45.234.162,1340,R_7Qmw4D0iReOfjcB,41.0842,-73.5451,1,1,7,2,7,1,12,11,11,10,30,20,25,35,10,5,"1,2",5,5,5,5,5,"1,2",5,5,5,5,5,5,,"1,2",4,4,4,"1,2",4,4,,1,,,,,,,,130,,,,,,30,,,,,,,,3,,,,,,3,,,,,,,,,100,,,,,,25,,,,,,,,3,,,,,,3,,,,,,,,4,2,4,4,4,4,4,2,4,4,4,4,4,4,15,,3,61,60,120,120,28,32,5,1,"5,6,7",6,,2,2,2,1,1,1,1,2,1,2,1,4,2,4,7,4,3,5,4,2,7,6,5,6,7,4,"3,4,5",7,3,1,6905,315,316,2
1/2/24 16:16,166.194.147.1,1073,R_7fpOz80csRyvunB,33.4743,-112.194,1,1,3,2,4,1,12,5,5,25,80,10,15,25,15,"1,2","1,2",5,"1,2",5,"1,2",5,"1,2",5,5,5,5,"1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,125,30,,5,,20,,8,,,,,25,25,1,3,,3,,3,,3,,,,,"1,3",3,,120,25,,5,,20,,7,,,,,22,22,1,3,,3,,3,,3,,,,,1,3,,2,2,4,3,4,1,4,2,4,4,4,4,2,2,15,,3,25,25,25,24,60,65,5,1,"4,5",1,,2,2,1,1,2,1,1,3,2,1,2,6,6,6,7,7,7,5,7,6,7,7,7,6,7,5,"4,5,7",5,5,2,85635,99,101,1
1/2/24 16:08,76.186.1.179,1654,R_3Gti3zZCTS5JUrL,29.5211,-98.3293,1,1,45,2,7,1,12,3,3,20,70,25,40,30,15,"1,2","1,2",2,5,"1,2","1,2",5,5,5,2,5,"1,2","1,2",2,,"1,2",4,4,4,4,4,4,,,,,,,,,150,50,,,25,0,,,,,,15,30,,1,1,,,2,3,,,,,,1,1,,4,30,20,0,,20,0,,,,0,,25,0,25,1,2,"1,3",,1,3,,,,3,,1,3,1,1,2,2,4,4,2,3,3,4,4,4,4,2,3,3,15,,3,119,120,90,120,60,93,5,1,4,1,,2,3,3,2,,2,2,4,4,5,4,6,3,6,7,3,6,6,7,7,7,7,7,7,7,4,"3,4,5",5,2,1,78109,2567,2582,2
1/2/24 16:11,174.211.183.242,1498,R_16T9r6fby3LgYuZ,27.8044,-82.2759,1,1,10,2,4,2,12,10,10,0,50,50,20,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,,3,68,83,113,120,120,213,5,2,8,11,2,2,3,3,2,,2,2,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,6,3,6,4,33801,330,172,3
1/2/24 16:09,71.237.159.164,1646,R_7b5oUuhK05uJlyp,45.4757,-122.4069,1,1,38,2,7,1,12,3,3,23,30,43,23,26,4,2,"1,2",5,5,"1,2",5,5,"1,2",5,5,5,5,5,"1,2",,2,4,4,4,4,4,4,,,,,,,,,,175,,,30,,,24,,,,,,28,,2,,,2,,,3,,,,,,3,3,0,150,,,40,,,25,,,,,,18,3,3,,,2,,,3,,,,,,3,3,3,2,4,4,2,4,4,3,4,4,4,4,2,2,15,,3,35,30,65,70,60,70,1,1,8,"1,3,6,7",,2,3,3,2,,2,2,4,1,1,6,6,5,6,5,4,7,7,7,5,6,7,6,7,7,1,"1,3,5",8,1,1,97080,2246,2272,3
1/2/24 16:14,172.56.12.197,1726,R_5h4JKfjvntUUeQA,44.9834,-93.2622,1,1,24,2,7,1,12,5,5,1.99,16.28,4.39,11.02,31,26.47,"1,2","1,2",5,5,2,5,5,5,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,50,40,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,50,50,,,30,,,,,,,,,,2,2,,,2,,,,,,,,,,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,15,,3,60,61,29,31,26,35,1,1,8,"3,5,11",2,2,2,2,2,,1,1,3,2,1,6,5,5,6,7,5,5,5,5,7,6,6,7,6,7,4,"3,4,5",7,1,1,55407,1338,1365,3
1/2/24 16:08,24.191.214.210,2348,R_5RuGPIvV490sorn,40.935,-74.1176,1,1,31,2,7,1,12,7,7,10,60,25,30,35,0,"1,2","1,2",5,5,"1,2",5,"1,2","1,2",5,5,5,"1,2","1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,0,200,,,0,,0,0,,,,0,0,0,3,3,,,3,,3,3,,,,3,3,3,,0,175,,,35,,0,0,,,,0,0,0,3,3,,,3,,3,3,,,,3,3,3,,2,2,4,2,2,4,4,4,4,4,4,2,3,2,15,,3,61,107,83,126,172,158,1,1,9,"1,6,8",,2,2,2,2,,2,2,4,2,4,4,6,6,7,6,6,5,7,6,5,5,7,6,6,7,6,"1,2,3,4,5",7,2,1,7410,1805,1807,2
1/2/24 16:48,45.56.198.139,730,R_1QLOyrhsujMz7UZ,37.751,-97.822,1,1,45,1,4,1,12,12,12,60,75,50,50,60,70,1,2,1,1,1,1,1,1,1,2,1,1,1,1,Burger meat,1,1,"1,2","1,2",1,1,1,,,1,1,,1,1,1,40,,60,75,70,60,45,50,50,,60,50,50,60,1,,1,"1,2",2,1,1,2,1,,1,2,1,1,1,,65,,,,,,,,76,,,,,,1,,,,,,,,1,,,,,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,"17,19,20",On tv advertising ,3,79,67,116,88,136,121,1,2,8,"1,5,8",,2,3,2,1,1,1,1,1,1,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"1,4,5",8,4,3,75640,2567,2797,3
1/2/24 16:46,108.197.232.157,861,R_7FwzGhosEomGS4p,38.4782,-122.7475,1,1,5,2,7,1,12,6,6,10,50,20,50,25,20,"1,2","1,2","1,2",5,5,5,"1,2","1,2","1,2","1,2",5,"1,2","1,2","1,2",,"1,2",4,4,4,4,4,4,,,,,,,,,100,65,30,,,,15,20,0,30,,10,15,100,3,3,3,,,,3,3,3,2,,3,3,3,4,100,6,25,,,,15,20,0,30,,40,0,100,3,3,3,,,,3,3,2,2,,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,advertisements,3,31,31,45,45,51,52,5,1,3,"6,7,11",3,2,3,3,2,,2,2,1,1,5,4,5,6,6,2,4,4,5,5,2,5,6,5,5,7,4,"1,2,3,5",7,2,1,95403,191,240,2
1/2/24 16:46,99.43.63.222,957,R_5kTDz8iukNb1JbI,39.5992,-86.13,1,1,15,2,6,1,12,7,7,5,50,15,10,25,15,"1,2",2,5,5,5,"1,2",5,"1,2",5,5,5,5,"1,2",5,,"1,2","1,2",4,4,4,4,4,,,,,,,,,105,,,,,20,,5,,,,,10,,3,,,,,3,,3,,,,,3,,,95,10,,,,5,,5,,,,,8,,3,3,,,,3,,3,,,,,3,,,2,3,4,4,4,1,4,2,4,4,4,4,2,4,15,,3,60,60,90,60,20,20,5,1,8,"1,8",,2,3,3,2,,2,2,4,2,3,4,4,5,5,7,3,3,6,4,4,5,5,3,4,7,2,"1,4,5",4,2,1,46143,712,151,1
1/2/24 16:46,73.211.6.4,991,R_10oROMnzUQ13a9n,41.8018,-87.5993,1,1,14,2,7,1,12,3,3,4,24,5,30,4,0,5,"1,2",2,5,2,"1,2","1,2",5,"1,2",5,5,5,5,"1,2",,4,4,2,4,1,4,4,,,2,,,,1,,,50,,,,5,50,,0,,,,,8,,2,,,,3,3,,3,,,,,3,1,,35,20,,0,5,50,,0,,,,,13,,2,3,,3,3,3,,3,,,,,"1,3",3,4,3,3,3,3,2,2,4,4,4,4,4,4,2,15,,3,61,60,61,61,59,59,5,1,7,1,,2,2,2,1,2,1,2,4,1,5,4,2,1,5,7,6,7,7,5,5,5,6,5,5,7,5,"4,5,7",5,1,1,60615,609,435,3
