RecordedDate,Q51,Q1,Q4,Q52_1,Q52_2,IPAddress
1/2/24 17:00,75640,45,Male,Texas,Upshur County,45.56.198.139
1/2/24 17:01,95403,5,Female,California,Sonoma County,108.197.232.157
1/2/24 17:02,46143,15,Female,Indiana,Johnson County,99.43.63.222
1/2/24 17:03,60615,14,Female,Illinois,Cook County,73.211.6.4
1/2/24 17:04,57785,43,Female,South Dakota,Meade County,75.225.248.152
1/2/24 17:04,67401,17,Female,Kansas,Saline County,174.250.210.70
1/2/24 17:04,,37,Female,,,172.59.125.11
1/2/24 17:04,78040,45,Female,Texas,Webb County,70.123.90.154
1/2/24 17:04,48207,23,Female,Michigan,Wayne County,68.40.64.184
1/2/24 17:05,75206,45,Male,Texas,Dallas County,70.123.96.53
1/2/24 17:06,,23,Male,,,76.122.150.94
1/2/24 17:07,45434,36,Female,Ohio,Greene County,74.140.206.211
1/2/24 17:08,6706,7,Female,Connecticut,New Haven County,73.17.153.135
1/2/24 17:09,60615,14,Female,Illinois,Cook County,172.59.189.200
1/2/24 17:09,85755,3,Female,Arizona,Pima County,174.18.30.36
1/2/24 17:10,1830,22,Male,Massachusetts,Essex County,73.17.38.78
1/2/24 17:10,78222,45,Female,Texas,Bexar County,173.175.106.143
1/2/24 17:16,74344,37,Female,Oklahoma,Delaware County,192.111.16.103
1/2/24 17:16,92131,5,Female,California,San Diego County,172.56.240.176
1/2/24 17:25,34609,10,Female,Florida,Hernando County,70.127.67.213
1/2/24 17:26,45764,36,Male,Ohio,Athens County,98.100.246.114
1/2/24 17:40,99524,2,Female,Alaska,Anchorage Municipality,24.237.159.157
1/3/24 19:46,,5,Male,,,172.118.214.46
1/3/24 19:50,78201,45,Female,Texas,Bexar County,35.147.53.130
1/3/24 19:51,80231,6,Female,Colorado,Arapahoe County,73.169.54.125
1/3/24 19:52,33435,10,Female,Florida,Palm Beach County,99.32.179.144
1/3/24 19:54,33901,10,Female,Florida,Lee County,71.208.189.108
1/3/24 19:55,40741,18,Female,Kentucky,Laurel County,184.56.242.76
1/3/24 20:00,48313,23,Female,Michigan,Macomb County,69.14.201.0
1/3/24 20:01,63834,26,Female,Missouri,Mississippi County,107.195.178.135
1/3/24 20:04,53126,51,Female,Wisconsin,Racine County,23.121.76.165
1/3/24 20:06,91411,5,Female,California,Los Angeles County,172.118.12.169
1/3/24 20:06,16323,39,Female,Pennsylvania,Venango County,172.59.137.27
1/3/24 20:07,39560,25,Female,Mississippi,Harrison County,160.3.40.44
1/3/24 20:08,30058,11,Female,Georgia,DeKalb County,174.163.129.29
1/3/24 20:08,23605,48,Male,Virginia,Newport News city,68.99.106.242
1/3/24 20:10,92028,5,Male,California,San Diego County,172.56.241.32
1/3/24 20:10,75068,45,Female,Texas,Denton County,172.59.192.94
1/3/24 20:11,,33,Female,,,108.29.139.35
1/3/24 20:12,13903,33,Female,New York,Broome County,166.205.147.60
1/3/24 20:13,76472,45,Female,Texas,Palo Pinto County,68.68.169.36
1/3/24 20:13,52732,16,Male,Iowa,Clinton County,173.27.141.125
1/3/24 20:14,89183,29,Male,Nevada,Clark County,70.173.202.148
1/3/24 20:14,78602,45,Female,Texas,Bastrop County,66.68.114.241
1/3/24 20:14,44281,36,Female,Ohio,Medina County,76.188.124.119
1/3/24 20:15,98625,49,Female,Washington,Cowlitz County,216.128.97.71
1/3/24 20:15,76201,45,Female,Texas,Denton County,47.44.57.106
1/3/24 20:16,65804,26,Female,Missouri,Greene County,173.27.241.142
1/3/24 20:16,32112,10,Female,Florida,Putnam County,67.190.220.215
1/3/24 20:18,63121,26,Female,Missouri,St  Louis County,47.24.250.89
1/3/24 20:18,60110,14,Female,Illinois,Kane County,172.59.185.128
1/3/24 20:18,95608,5,Female,California,Sacramento County,99.21.147.80
1/3/24 20:21,14108,33,Female,New York,Niagara County,98.1.60.38
1/3/24 20:22,80241,6,Male,Colorado,Adams County,184.96.138.24
1/3/24 20:25,92530,5,Female,California,Riverside County,98.150.116.165
1/3/24 20:28,42343,18,Female,Kentucky,Ohio County,108.88.147.143
1/3/24 20:29,10032,33,Other/self-identified,New York,New York County,69.202.138.149
1/3/24 20:30,85021,3,Female,Arizona,Maricopa County,75.236.101.200
1/3/24 20:32,24740,50,Female,West Virginia,Mercer County,173.80.5.69
1/3/24 20:33,92404,5,Female,California,San Bernardino County,76.86.102.234
1/3/24 20:35,40071,18,Male,Kentucky,Spencer County,96.29.51.153
1/3/24 20:36,3049,30,Male,New Hampshire,Hillsborough County,47.14.68.169
1/3/24 20:37,2139,22,Female,Massachusetts,Middlesex County,172.58.219.115
1/3/24 20:38,98250,49,Female,Washington,San Juan County,172.59.220.232
1/3/24 20:38,78228,45,Male,Texas,Bexar County,71.146.39.52
1/3/24 20:38,98226,49,Male,Washington,Whatcom County,76.135.157.204
1/3/24 20:39,23294,48,Female,Virginia,Henrico County,73.31.64.80
1/3/24 20:40,76017,45,Female,Texas,Tarrant County,172.59.193.154
1/3/24 20:40,,46,Female,,,67.2.203.221
1/3/24 20:41,32953,10,Male,Florida,Brevard County,72.239.238.87
1/3/24 20:41,28613,34,Female,North Carolina,Catawba County,96.37.68.177
1/3/24 20:41,15480,39,Female,Pennsylvania,Fayette County,24.145.2.152
1/3/24 20:42,60630,14,Male,Illinois,Cook County,174.239.121.76
1/3/24 20:43,49453,23,Female,Michigan,Allegan County,76.112.158.47
1/3/24 20:43,75143,45,Female,Texas,Henderson County,166.199.246.74
1/3/24 20:43,46342,15,Female,Indiana,Lake County,76.136.127.122
1/3/24 20:43,97701,38,Male,Oregon,Deschutes County,67.204.139.55
1/3/24 20:44,7470,31,Female,New Jersey,Passaic County,69.119.73.91
1/3/24 20:44,40769,18,Female,Kentucky,Whitley County,74.137.165.86
1/3/24 20:45,,45,Male,,,76.143.138.133
1/3/24 20:45,43230,36,Female,Ohio,Franklin County,65.24.126.241
1/3/24 20:46,89131,29,Male,Nevada,Clark County,50.159.228.34
1/3/24 20:46,22204,48,Male,Virginia,Arlington County,96.241.55.123
1/3/24 20:47,54935,51,Female,Wisconsin,Fond du Lac County,97.88.132.40
1/3/24 20:48,94565,5,Male,California,Contra Costa County,172.59.129.161
1/3/24 20:49,27846,34,Female,North Carolina,Martin County,166.182.249.79
1/3/24 20:49,11727,33,Male,New York,Suffolk County,104.246.84.106
1/3/24 20:50,46733,15,Male,Indiana,Adams County,172.56.249.144
1/3/24 20:52,78633,45,Female,Texas,Williamson County,47.221.177.149
1/3/24 20:52,53714,51,Male,Wisconsin,Dane County,47.12.116.112
1/3/24 20:55,33709,10,Female,Florida,Pinellas County,35.145.177.7
1/3/24 20:55,78413,45,Male,Texas,Nueces County,104.179.7.156
1/3/24 20:57,61032,14,Female,Illinois,Stephenson County,76.157.180.22
1/3/24 20:58,,23,Female,,,172.58.121.116
1/3/24 20:59,33781,10,Female,Florida,Pinellas County,72.187.213.122
1/3/24 20:59,92648,5,Male,California,Orange County,107.184.17.28
1/3/24 20:59,72903,4,Female,Arkansas,Sebastian County,107.204.241.112
1/3/24 20:59,55421,24,Female,Minnesota,Anoka County,24.7.237.221
1/3/24 21:00,89004,29,Male,Nevada,Clark County,172.96.116.234
1/3/24 21:00,48880,23,Male,Michigan,Gratiot County,75.133.208.111
1/3/24 21:00,17754,39,Female,Pennsylvania,Lycoming County,73.230.70.54
1/3/24 21:02,68801,28,Female,Nebraska,Hall County,75.135.220.149
1/3/24 21:03,,10,Female,,,67.8.172.204
1/3/24 21:04,48085,23,Female,Michigan,Oakland County,68.55.101.11
1/3/24 21:04,78642,45,Female,Texas,Williamson County,104.10.81.95
1/3/24 21:05,97520,38,Male,Oregon,Jackson County,63.155.18.154
1/3/24 21:05,29356,42,Female,South Carolina,Spartanburg County,98.21.43.45
1/3/24 21:06,40211,18,Female,Kentucky,Jefferson County,166.198.202.28
1/3/24 21:07,93610-8419,5,Male,California,Madera County,174.208.164.218
1/3/24 21:08,32174,10,Male,Florida,Volusia County,70.253.61.224
1/3/24 21:08,67217,17,Male,Kansas,Sedgwick County,107.77.207.113
1/3/24 21:09,94561,5,Male,California,Contra Costa County,98.37.229.42
1/3/24 21:10,17560,39,Male,Pennsylvania,Lancaster County,73.101.169.62
1/3/24 21:11,75409,45,Female,Texas,Collin County,130.51.138.204
1/3/24 21:11,56081,24,Female,Minnesota,Watonwan County,173.19.244.172
1/3/24 21:12,75067,45,Female,Texas,Denton County,47.188.73.136
1/3/24 21:12,20732,21,Male,Maryland,Calvert County,69.255.4.220
1/3/24 21:12,15320,39,Female,Pennsylvania,Greene County,75.88.54.53
1/3/24 21:12,39567,25,Female,Mississippi,Jackson County,67.61.102.183
1/3/24 21:12,19422,39,Female,Pennsylvania,Montgomery County,76.98.183.137
1/3/24 21:13,63122,26,Male,Missouri,St  Louis County,174.86.129.239
1/3/24 21:14,98502,49,Female,Washington,Thurston County,73.221.69.107
1/3/24 21:14,,1,Female,,,107.217.35.56
1/3/24 21:14,29650,42,Female,South Carolina,Greenville County,108.67.36.181
1/3/24 21:15,98125,49,Male,Washington,King County,67.170.20.84
1/3/24 21:16,92029,5,Female,California,San Diego County,98.176.240.77
1/3/24 21:16,37862,44,Female,Tennessee,Sevier County,71.87.183.157
1/3/24 21:17,23225,48,Female,Virginia,Chesterfield County,74.110.215.47
1/3/24 21:17,39581,25,Female,Mississippi,Jackson County,67.61.106.147
1/3/24 21:19,48223,23,Female,Michigan,Wayne County,172.58.124.129
1/3/24 21:20,52302,16,Female,Iowa,Linn County,172.56.10.16
1/3/24 21:20,8648,31,Female,New Jersey,Mercer County,71.187.112.47
1/3/24 21:22,98557,49,Female,Washington,Grays Harbor County,73.254.16.206
1/3/24 21:22,,14,Female,,,192.119.144.38
1/3/24 21:23,89129,29,Female,Nevada,Clark County,70.173.22.251
1/3/24 21:23,68852,28,Female,Nebraska,Sherman County,207.68.209.43
1/3/24 21:23,77371,45,Female,Texas,San Jacinto County,74.193.103.155
1/3/24 21:25,37683,44,Female,Tennessee,Johnson County,174.235.81.230
1/3/24 21:26,32254,10,Female,Florida,Duval County,52.90.224.253
1/3/24 21:26,29621,42,Male,South Carolina,Anderson County,75.136.140.219
1/3/24 21:28,61604,14,Female,Illinois,Peoria County,108.210.56.60
1/3/24 21:28,36606,1,Female,Alabama,Mobile County,68.62.205.37
1/3/24 21:29,1128,22,Female,Massachusetts,Hampden County,73.123.161.187
1/3/24 21:29,89147,29,Male,Nevada,Clark County,50.158.9.157
1/3/24 21:29,92078,5,Male,California,San Diego County,72.199.98.141
1/3/24 21:29,8234,31,Female,New Jersey,Atlantic County,172.56.217.169
1/3/24 21:30,84121,46,Male,Utah,Salt Lake County,97.132.150.245
1/3/24 21:30,15037,39,Female,Pennsylvania,Allegheny County,73.79.252.246
1/3/24 21:31,45227,36,Female,Ohio,Hamilton County,174.207.172.11
1/3/24 21:31,88061,32,Female,New Mexico,Grant County,192.119.38.11
1/3/24 21:31,60156,14,Female,Illinois,McHenry County,98.52.103.232
1/3/24 21:31,13208,33,Female,New York,Onondaga County,67.241.5.241
1/3/24 21:31,84129,46,Male,Utah,Salt Lake County,71.199.52.115
1/3/24 21:32,11212,33,Female,New York,Kings County,172.56.164.146
1/3/24 21:33,17104,39,Female,Pennsylvania,Dauphin County,73.187.165.207
1/3/24 21:33,81101,6,Female,Colorado,Alamosa County,72.174.252.99
1/3/24 21:33,34711,10,Female,Florida,Lake County,72.188.68.108
1/3/24 21:33,6447,7,Male,Connecticut,Hartford County,73.159.50.75
1/3/24 21:34,85614,3,Male,Arizona,Pima County,68.109.158.110
1/3/24 21:34,57110,43,Female,South Dakota,Minnehaha County,172.56.12.150
1/3/24 21:34,87112,32,Female,New Mexico,Bernalillo County,73.127.189.64
1/3/24 21:36,32210,10,Male,Florida,Duval County,99.120.141.7
1/3/24 21:37,55811,24,Male,Minnesota,Scott County,216.173.152.204
1/3/24 21:37,83704,13,Male,Idaho,Ada County,24.119.125.184
1/3/24 21:39,37854,44,Female,Tennessee,Roane County,174.219.128.136
1/3/24 21:39,92335,5,Female,California,San Bernardino County,66.74.180.68
1/3/24 21:40,,45,Male,,,50.201.213.226
1/3/24 21:40,30707,11,Female,Georgia,Whitfield County,71.88.3.171
1/3/24 21:41,77386,45,Male,Texas,Montgomery County,73.232.49.37
1/3/24 21:41,61832,14,Female,Illinois,Vermilion County,67.186.86.52
1/3/24 21:41,35951,1,Male,Alabama,Marshall County,47.226.223.130
1/3/24 21:43,32405,10,Male,Florida,Bay County,67.177.88.126
1/3/24 21:43,,1,Female,,,75.143.96.62
1/3/24 21:44,49858,23,Female,Michigan,Menominee County,107.132.167.33
1/3/24 21:44,87501,32,Female,New Mexico,Santa Fe County,98.60.118.177
1/3/24 21:45,23237,48,Female,Virginia,Chesterfield County,108.147.2.27
1/3/24 21:45,84043,46,Female,Utah,Utah County,174.52.144.132
1/3/24 21:46,15717,39,Female,Pennsylvania,Indiana County,73.214.2.88
1/3/24 21:46,90803,5,Male,California,Los Angeles County,24.205.121.217
1/3/24 21:47,4769,20,Female,Maine,Aroostook County,216.195.167.26
1/3/24 21:47,76530,45,Female,Texas,Williamson County,104.36.120.71
1/3/24 21:48,97303,38,Male,Oregon,Marion County,76.144.197.203
1/3/24 21:48,30096,11,Male,Georgia,Gwinnett County,68.117.216.49
1/3/24 21:48,97405,38,Female,Oregon,Lane County,76.105.132.241
1/3/24 21:49,8721,31,Female,New Jersey,Ocean County,73.193.148.132
1/3/24 21:49,90008,6,Male,California,Los Angeles County,207.55.53.194
1/3/24 21:50,31087,11,Female,Georgia,Baldwin County,47.39.227.19
1/3/24 21:50,35749,1,Male,Alabama,Madison County,24.96.155.214
1/3/24 21:51,95237,5,Male,California,San Joaquin County,99.120.2.212
1/3/24 21:52,85042,3,Female,Arizona,Maricopa County,72.201.232.37
1/3/24 21:53,43113,36,Female,Ohio,Coshocton County,174.203.134.161
1/3/24 21:55,15317,39,Male,Pennsylvania,Washington County,73.214.65.26
1/3/24 21:55,77063,45,Female,Texas,Harris County,172.56.14.209
1/3/24 21:56,81403,6,Male,Colorado,Mesa County,98.127.3.244
1/3/24 21:58,95831,5,Female,California,Sacramento County,107.219.45.140
1/3/24 21:58,23693,48,Female,Virginia,York County,98.166.25.204
1/3/24 22:00,19701,8,Female,Delaware,New Castle County,173.49.57.210
1/3/24 22:01,85043,3,Female,Arizona,Maricopa County,172.56.80.212
1/3/24 22:02,49425,23,Female,Michigan,Muskegon County,50.124.55.213
1/3/24 22:03,,34,Female,,,69.68.78.234
1/3/24 22:04,55358,24,Female,Minnesota,Wright County,96.60.137.247
1/3/24 22:04,53575,51,Female,Wisconsin,Dane County,135.135.186.130
1/3/24 22:05,96816,12,Male,Hawaii,Honolulu County,66.75.91.24
1/3/24 22:05,90277,5,Female,California,Los Angeles County,47.152.115.59
1/3/24 22:05,45040,36,Female,Ohio,Warren County,163.182.75.47
1/3/24 22:06,35045,1,Female,Alabama,Chilton County,99.12.127.84
1/3/24 22:07,67401,17,Female,Kansas,Saline County,172.59.224.119
1/3/24 22:08,78641,45,Female,Texas,Williamson County,47.220.167.49
1/3/24 22:09,92780,5,Female,California,Orange County,172.99.129.36
1/3/24 22:09,93446,5,Male,California,San Luis Obispo County,47.138.250.101
1/3/24 22:11,89030,29,Female,Nevada,Clark County,68.229.39.70
1/3/24 22:12,,45,Female,,,137.118.84.227
1/3/24 22:12,26330,50,Male,West Virginia,Taylor County,76.35.153.0
1/3/24 22:13,55436,24,Female,Minnesota,Hennepin County,206.188.227.235
1/3/24 22:17,60646,14,Female,Illinois,Cook County,172.59.185.142
1/3/24 22:17,30650,11,Female,Georgia,Morgan County,97.81.73.137
1/3/24 22:19,95901,5,Female,California,Yuba County,73.235.248.88
1/3/24 22:19,44675,36,Female,Ohio,Carroll County,174.231.209.143
1/3/24 22:20,44012,36,Female,Ohio,Lorain County,75.76.114.25
1/3/24 22:21,80223,6,Female,Colorado,Denver County,97.118.155.67
1/3/24 22:22,43056,36,Female,Ohio,Licking County,172.59.33.179
1/3/24 22:23,92805,5,Female,California,Orange County,104.33.1.76
1/3/24 22:23,2143,22,Female,Massachusetts,Middlesex County,73.253.54.195
1/3/24 22:24,99207,49,Male,Washington,Spokane County,73.42.181.234
1/3/24 22:24,34211,10,Female,Florida,Manatee County,108.82.24.230
1/3/24 22:25,98003,49,Female,Washington,King County,24.17.203.95
1/3/24 22:25,68025,28,Female,Nebraska,Dodge County,67.3.128.99
1/3/24 22:27,67005,17,Male,Kansas,Cowley County,23.117.136.57
1/3/24 22:27,63080,26,Female,Missouri,Franklin County,172.59.168.109
1/3/24 22:30,33704,10,Female,Florida,Pinellas County,12.75.126.22
1/3/24 22:30,78239,45,Female,Texas,Bexar County,67.11.164.75
1/3/24 22:32,76009,45,Female,Texas,Johnson County,96.39.210.116
1/3/24 22:32,95811,5,Male,California,Sacramento County,208.52.28.75
1/3/24 22:34,38069,44,Male,Tennessee,Fayette County,75.45.39.68
1/3/24 22:34,78503,45,Female,Texas,Hidalgo County,173.174.20.234
1/3/24 22:36,62522,14,Male,Illinois,Macon County,98.46.104.159
1/3/24 22:37,54603,51,Female,Wisconsin,La Crosse County,35.148.48.142
1/3/24 22:37,85051,3,Female,Arizona,Maricopa County,70.162.119.138
1/3/24 22:38,90717,5,Female,California,Los Angeles County,104.172.200.162
1/3/24 22:39,91377,5,Male,California,Ventura County,108.185.180.136
1/3/24 22:39,,23,Female,,,68.55.228.66
1/3/24 22:40,,10,Female,,,69.180.119.223
1/3/24 22:40,53184,51,Male,Wisconsin,Walworth County,68.114.218.86
1/3/24 22:42,63857,26,Female,Missouri,Dunklin County,208.74.190.61
1/3/24 22:43,98407,49,Male,Washington,Pierce County,97.113.67.4
1/3/24 22:44,76201,45,Female,Texas,Denton County,35.150.39.183
1/3/24 22:44,60171,14,Female,Illinois,Cook County,67.173.157.219
1/3/24 22:45,55038,24,Male,Minnesota,Washington County,174.20.172.158
1/3/24 22:46,11365,33,Female,New York,Queens County,69.204.227.152
1/3/24 22:46,23116,48,Male,Virginia,Hanover County,73.251.203.116
1/3/24 22:47,98837,49,Female,Washington,Grant County,24.54.103.178
1/3/24 22:48,,10,Female,,,72.184.86.110
1/3/24 22:49,29118,42,Female,South Carolina,Orangeburg County,98.121.193.80
1/3/24 22:51,74361,37,Male,Oklahoma,Mayes County,172.59.193.37
1/3/24 22:52,57104,43,Female,South Dakota,Minnehaha County,104.28.97.45
1/3/24 22:52,41571,18,Female,Kentucky,Pike County,74.214.184.130
1/3/24 22:54,98632,49,Female,Washington,Cowlitz County,172.56.169.212
1/3/24 22:54,95014,5,Male,California,Santa Clara County,99.73.38.235
1/3/24 22:55,67401,17,Male,Kansas,Saline County,70.179.152.50
1/3/24 22:55,77087,45,Female,Texas,Harris County,98.196.1.78
1/3/24 22:56,60563,14,Female,Illinois,DuPage County,67.186.117.126
1/3/24 22:56,16125,39,Female,Pennsylvania,Mercer County,173.90.90.204
1/3/24 23:00,18088,39,Female,Pennsylvania,Northampton County,70.15.235.232
1/3/24 23:00,18045,39,Male,Pennsylvania,Northampton County,65.78.80.8
1/3/24 23:01,95628,5,Female,California,Sacramento County,98.36.106.54
1/3/24 23:01,44241,36,Female,Ohio,Portage County,75.188.167.46
1/3/24 23:01,85301,3,Male,Arizona,Maricopa County,75.204.23.54
1/3/24 23:01,93446,5,Female,California,San Luis Obispo County,71.93.39.163
1/3/24 23:01,60586,14,Female,Illinois,Will County,24.15.148.13
1/3/24 23:04,60440,14,Male,Illinois,Will County,71.194.107.91
1/3/24 23:04,50436,16,Male,Iowa,Winnebago County,104.145.202.229
1/3/24 23:10,,5,Male,,,47.137.139.234
1/3/24 23:10,77377,45,Female,Texas,Harris County,172.56.25.144
1/3/24 23:11,78130,45,Male,Texas,Guadalupe County,216.82.153.6
1/3/24 23:11,21532,21,Female,Maryland,Allegany County,73.117.226.57
1/3/24 23:13,78606,45,Female,Texas,Blanco County,72.173.99.226
1/3/24 23:14,62711,14,Male,Illinois,Sangamon County,71.201.252.108
1/3/24 23:17,95919,5,Female,California,Yuba County,108.147.102.36
1/3/24 23:17,34761,10,Female,Florida,Orange County,67.8.209.7
1/3/24 23:20,33324,10,Female,Florida,Broward County,99.169.218.204
1/3/24 23:20,33301,10,Female,Florida,Broward County,73.1.210.85
1/3/24 23:23,7950,31,Male,New Jersey,Morris County,72.76.232.182
1/3/24 23:25,80863,6,Female,Colorado,Teller County,174.198.145.252
1/3/24 23:30,25425,50,Female,West Virginia,Jefferson County,73.250.130.117
1/3/24 23:32,76058,45,Female,Texas,Johnson County,158.41.243.155
1/3/24 23:32,31701,11,Female,Georgia,Dougherty County,173.16.208.177
1/3/24 23:33,30906,11,Female,Georgia,Richmond County,174.254.53.51
1/3/24 23:45,93550,5,Male,California,Los Angeles County,76.79.88.49
1/3/24 23:46,49631,23,Female,Michigan,Osceola County,174.245.20.119
1/3/24 23:50,3833,30,Female,New Hampshire,Rockingham County,73.227.30.80
1/3/24 23:54,87112,32,Female,New Mexico,Bernalillo County,98.48.91.44
1/3/24 23:56,22803,48,Female,Virginia,Rockingham County,71.63.35.49
1/3/24 23:56,,9,Male,,,172.58.242.9
1/3/24 23:59,,29,Female,,,174.78.0.205
1/3/24 23:59,90803,5,Female,California,Los Angeles County,47.37.154.20
1/4/24 0:03,60629,14,Male,Illinois,Cook County,172.59.201.63
1/4/24 0:03,81526,6,Male,Colorado,Mesa County,172.221.114.206
1/4/24 0:05,68701,28,Female,Nebraska,Madison County,140.228.167.103
1/4/24 0:07,97739,38,Female,Oregon,Deschutes County,98.97.36.137
1/4/24 0:07,,18,Female,,,40.136.11.170
1/4/24 0:07,76367,45,Female,Texas,Wichita County,104.219.22.118
1/4/24 0:08,92065,5,Female,California,San Diego County,98.176.65.16
1/4/24 0:11,12901,33,Female,New York,Clinton County,174.197.206.2
1/4/24 0:15,95608,5,Male,California,Sacramento County,98.56.164.137
1/4/24 0:21,19977,8,Female,Delaware,Kent County,192.149.13.24
1/4/24 0:27,65483,26,Female,Missouri,Texas County,162.220.183.63
1/4/24 0:27,94610,5,Female,California,Alameda County,192.184.255.145
1/4/24 0:27,75964,45,Female,Texas,Nacogdoches County,107.77.197.181
1/4/24 0:31,74601,37,Female,Oklahoma,Kay County,67.61.117.92
1/4/24 0:32,,34,Female,,,172.58.251.204
1/4/24 0:33,37142,44,Female,Tennessee,Montgomery County,96.32.234.200
1/4/24 0:33,65251,26,Female,Missouri,Callaway County,166.196.110.43
1/4/24 0:34,46124,15,Female,Indiana,Johnson County,76.11.167.75
1/4/24 0:35,97537,38,Female,Oregon,Jackson County,35.132.191.35
1/4/24 0:35,85706,3,Female,Arizona,Pima County,72.208.208.115
1/4/24 0:36,85940,3,Male,Arizona,Apache County,50.38.238.200
1/4/24 0:39,55347,24,Male,Minnesota,Hennepin County,24.245.51.88
1/4/24 0:39,76031,45,Male,Texas,Johnson County,75.91.163.92
1/4/24 0:40,39437,25,Female,Mississippi,Jones County,107.77.234.191
1/4/24 0:41,28705,34,Female,North Carolina,Mitchell County,192.34.130.16
1/4/24 0:42,72751,4,Female,Arkansas,Benton County,68.1.255.49
1/4/24 0:45,38059,44,Female,Tennessee,Dyer County,35.151.137.65
1/4/24 0:46,94010,5,Female,California,San Mateo County,73.223.102.231
1/4/24 0:49,30043,11,Female,Georgia,Gwinnett County,75.40.53.138
1/4/24 0:49,29486,42,Female,South Carolina,Berkeley County,76.49.101.185
1/4/24 0:49,,18,Female,,,208.102.73.75
1/4/24 0:53,92024,5,Female,California,San Diego County,76.217.130.168
1/4/24 0:57,23874,48,Male,Virginia,Southampton County,172.56.3.176
1/4/24 0:58,80538,6,Female,Colorado,Larimer County,149.106.99.31
1/4/24 1:06,,5,Male,,,172.56.200.164
1/4/24 1:07,,49,Female,,,174.25.95.216
1/4/24 1:08,34472,10,Male,Florida,Marion County,67.235.183.51
1/4/24 1:09,97401,38,Female,Oregon,Lane County,24.20.183.60
1/4/24 1:11,16301,39,Female,Pennsylvania,Venango County,24.131.224.118
1/4/24 1:14,59301,27,Female,Montana,Custer County,216.228.37.194
1/4/24 1:14,18428,39,Female,Pennsylvania,Wayne County,72.28.15.36
1/4/24 1:15,77022,45,Female,Texas,Harris County,69.226.168.29
1/4/24 1:25,94577,5,Male,California,Alameda County,24.6.180.167
1/4/24 1:27,95926,5,Female,California,Butte County,104.60.204.194
1/4/24 1:36,64068,26,Female,Missouri,Clay County,23.112.91.216
1/4/24 1:40,,5,Male,,,104.234.219.59
1/4/24 1:40,2895,41,Female,Rhode Island,Providence County,172.58.228.224
1/4/24 1:42,65775,26,Male,Missouri,Howell County,67.145.45.220
1/4/24 1:45,74932,37,Male,Oklahoma,Le Flore County,70.178.45.23
1/4/24 1:45,47468,15,Male,Indiana,Monroe County,68.45.52.202
1/4/24 1:48,,28,Male,,,72.206.125.116
1/4/24 1:49,55407,24,Female,Minnesota,Hennepin County,75.73.212.166
1/4/24 1:49,97739,38,Female,Oregon,Deschutes County,184.61.202.33
1/4/24 1:49,37764,44,Female,Tennessee,Sevier County,104.60.47.247
1/4/24 1:49,91770,5,Female,California,Los Angeles County,24.205.11.24
1/4/24 1:49,85737,3,Male,Arizona,Pima County,98.225.89.25
